ID_REF,log2_D/G_6h_DF2,log2_D/G_16h_DF2,log2_D/G_24h_DF2,log2_RNA_3H_DF3,log2_RNA_15H_DF3,log2_RNA_24H_DF3,log2_D/G_15h_DF5,log2_D/G_24h_DF5,log2_D/G_6h_DF6,log2_D/G_16h_DF6,log2_D/G_24h_DF6
AT1G01010,-0.0396650338796885,0.8827501279963255,1.680365372674152,0.3925603780590415,0.1134391763916334,-0.3685685425520039,-0.4590779728414299,-0.2534908041723199,-0.4048329014096896,0.192515052703167,-0.0111651914773764
AT1G01020,-0.0449179420719439,-0.2193606845188938,-0.1383039040188704,-0.5936905288986808,-0.9837067594340816,-0.6364712042854788,-0.0884250798524397,-0.3184454936728,-0.103668900006059,0.2435998694689001,0.3364697379609607
AT1G01030,-0.0627411910804473,0.2932342673541036,0.4222805802707257,-1.0036042045810245,-0.7788795624120013,-0.3285464498184312,-0.7811479062460841,-0.7597810387042352,0.0689513779658284,0.7323256336832004,0.2297788212041077
AT1G01040,-0.0864541976795518,0.2320827089328495,1.0206157228584978,-0.0634483074033702,-0.1198840461804502,0.1433118538609606,-0.2135246183149695,0.3111305866658699,0.3591407065563919,0.0241604243504044,0.3148211262103805
AT1G01050,0.1499878643103147,0.2070040208399781,0.1518146406113488,-0.788623381416321,-0.8385939418137545,-1.4526119697678326,-0.4090145074773296,-0.5268526864302698,0.1802165252857299,0.2095286724199008,0.3715939664221508
AT1G01060,0.2022503376459543,-0.207186898173057,0.0732869375348494,0.2842991554480167,0.9550266946157538,1.5123764550756398,-0.5668755249681303,0.9233109073496204,0.4122742155810559,0.3131959961267379,0.3814094048198659
AT1G01080,0.006643273630614,-0.3009034862479363,-0.9970650335108718,-5.492342050057986,-0.7446399451895714,-1.5838560467443992,-1.10996827875239,-0.8531547595376799,0.5761472769066251,0.4352268289511678,-0.4146571921616055
AT1G01090,-0.0498908530207988,-0.7527173455314126,-0.9543879272618082,-4.145570796816412,-0.6678779411645647,-1.86724934019038,-0.6636205392316097,-0.5053321267391401,0.4864073352639781,0.3098353645798923,-0.1195653797001064
AT1G01100,-0.0522804675925697,-0.3386383899310775,-0.2426759969711539,-3.646350709950201,-0.6862760506787515,-1.2312805604279322,-0.5370094657220508,-0.5434928886811699,0.3795380039920836,0.4225654350843346,0.1771374710381444
AT1G01110,0.2469511225098378,-1.4355156008395094,-1.784117539021952,-5.314638807568088,-1.3376932455887895,-2.3769165709737914,-1.4687827220913638,-1.7157189545158398,-0.3349230939432939,-0.2521663652188303,-1.315104347208068
