ID_REF,Label,#Unique,#1-Method,#2-Methods,#3-Methods,#4-Methods,P-CEIN Pos,P-CEIN Neg,KNN-RBH,NPC-1,ClusterPath
AT5G44200,Germination,3020,2195,611,186,28,1375,12,297,465,1938
AT5G57390,Dormancy,2584,2062,386,114,22,318,8,272,498,2168
AT5G40280,Germination,2547,2075,348,111,13,202,1,300,485,2168
AT2G26300,Germination,2253,1863,297,83,10,250,0,158,474,1864
AT5G06100,Dormancy,1626,1339,212,65,10,185,1,194,500,1118
AT5G08620,Dormancy,2836,2162,487,178,9,1052,21,325,497,1811
AT1G27320,Dormancy,2246,1642,501,94,9,135,0,676,477,1674
AT2G38050,Germination,2933,2335,489,101,8,1503,18,240,442,1445
AT3G50500,Dormancy,2534,2055,377,94,8,98,1,373,483,2168
AT1G54160,Germination,2190,1904,209,69,8,1163,35,232,437,694
AT5G13530,Germination,2707,2033,527,140,7,244,1,648,474,2168
AT4G11110,Dormancy,2680,2093,517,65,5,94,6,614,460,2168
AT5G03280,Germination,2483,2108,314,56,5,430,65,131,487,1811
AT1G79460,Germination,1587,1261,272,49,5,133,0,428,446,965
AT2G33610,Dormancy,2071,1749,226,92,4,802,12,229,439,1011
AT2G44950,Dormancy,1414,1092,249,69,4,84,0,399,473,857
AT5G48870,Germination,2982,1876,712,391,3,1889,52,611,460,1473
AT3G63520,Dormancy,1942,1493,376,70,3,170,0,702,513,1082
AT2G20180,Dormancy,1412,1167,200,42,3,323,10,246,477,649
AT2G23460,Germination,1574,1340,197,34,3,145,1,217,474,1011
AT1G72770,Germination,1899,1431,381,85,2,229,4,714,443,1066
AT5G60410,Dormancy,2122,1572,492,56,2,34,5,552,467,1674
AT5G25900,Germination,2195,1778,372,43,2,37,0,367,444,1811
AT1G01360,Dormancy,1673,1357,274,40,2,110,0,706,477,740
AT2G31660,Germination,1348,1057,249,40,2,761,21,268,472,161
AT1G10430,Germination,1503,1283,191,27,2,88,0,213,491,962
AT1G55870,Germination,974,832,121,19,2,19,5,232,480,403
AT1G31970,Dormancy,2662,1766,656,239,1,1607,18,540,459,1175
AT3G20770,Dormancy,2326,1767,452,106,1,351,1,699,469,1473
AT4G17870,Dormancy,2402,1808,492,101,1,1588,73,519,456,463
AT2G01830,Dormancy,1282,1032,176,73,1,186,3,233,491,694
AT2G43790,Dormancy,2571,1990,532,48,1,35,1,510,488,2168
AT5G35750,Dormancy,1778,1545,188,44,1,431,40,202,463,921
AT2G28350,Dormancy,1275,1070,169,35,1,183,7,162,458,707
AT5G02310,Germination,1972,1545,394,32,1,4,5,414,448,1562
AT3G51770,Dormancy,1054,913,122,18,1,129,1,150,476,459
AT1G48630,Germination,2557,1599,743,215,0,1394,65,711,477,1083
AT5G17490,Dormancy,1944,1400,356,188,0,1033,54,530,461,598
AT5G51760,Germination,1169,832,186,151,0,357,2,346,446,506
AT1G09570,Germination,2329,1710,469,150,0,1083,22,381,437,1175
AT5G20960,Dormancy,1196,851,201,144,0,346,4,361,468,506
AT4G01026,Dormancy,1231,866,228,137,0,415,2,368,442,506
AT1G18080,Germination,2065,1479,454,132,0,1184,41,435,444,679
AT1G15550,Germination,1741,1409,210,122,0,1058,9,413,469,246
AT5G67030,Dormancy,1278,900,259,119,0,375,5,431,458,506
AT5G52570,Dormancy,1197,878,216,103,0,297,26,359,496,441
AT4G16250,Germination,1328,1028,204,96,0,230,59,422,438,575
AT1G48270,Dormancy,2042,1646,312,84,0,320,2,311,460,1429
AT4G36930,Dormancy,1461,1160,222,79,0,572,11,570,495,193
AT4G18130,Germination,2247,1738,435,74,0,251,14,636,456,1473
AT3G05120,Germination,1630,1251,305,74,0,309,2,500,462,810
AT5G45830,Dormancy,1018,821,123,74,0,287,2,243,475,282
AT1G66350,Dormancy,1386,1130,187,69,0,643,8,432,483,145
AT2G04240,Dormancy,1527,1223,237,67,0,287,1,409,461,740
AT5G46790,Dormancy,1170,953,155,62,0,281,1,490,484,193
AT2G21660,Germination,2299,1745,503,51,0,1504,18,464,468,450
AT2G38310,Dormancy,1958,1478,429,51,0,962,83,653,509,282
AT3G03450,Dormancy,1670,1340,283,47,0,947,14,252,486,348
AT3G51880,Dormancy,1598,1268,287,43,0,388,3,469,453,658
AT2G01570,Dormancy,1758,1484,232,42,0,302,0,90,448,1234
AT4G25420,Germination,1695,1380,274,41,0,784,77,439,439,312
AT5G53160,Dormancy,1504,1224,244,36,0,504,2,400,498,416
AT1G78390,Dormancy,1063,881,146,36,0,298,0,307,461,215
AT5G20910,Germination,1153,961,159,33,0,77,2,365,447,487
AT3G11540,Dormancy,1654,1376,246,32,0,58,3,594,446,863
AT2G40220,Dormancy,1201,1030,141,30,0,89,0,249,441,623
AT5G63320,Dormancy,1196,1018,152,26,0,56,0,231,489,624
AT4G25700,Dormancy,975,827,122,26,0,187,1,144,471,346
AT2G41430,Germination,953,849,79,25,0,105,1,73,444,459
AT5G05700,Germination,1702,1323,355,24,0,2,0,391,456,1256
AT1G14920,Dormancy,1442,1198,221,23,0,321,1,101,450,836
AT3G04870,Dormancy,1923,1590,313,20,0,34,0,505,464,1273
AT1G03790,Dormancy,1150,998,132,20,0,211,0,205,458,448
AT5G57050,Germination,1389,1228,143,18,0,79,342,266,411,470
AT2G36270,Dormancy,1196,1033,146,17,0,286,1,334,438,317
AT2G30250,Germination,1184,1029,138,17,0,149,33,447,445,282
AT5G66880,Dormancy,1010,922,71,17,0,49,2,322,498,244
AT1G31930,Germination,1218,1006,197,15,0,2,0,317,497,629
AT3G11240,Germination,1354,1190,149,15,0,13,0,85,477,958
AT1G52340,Dormancy,1664,1493,158,13,0,23,0,196,436,1193
AT3G63010,Germination,1068,963,92,13,0,122,2,469,477,116
AT5G37260,Dormancy,1581,1486,83,12,0,106,543,223,462,354
AT2G40330,Dormancy,870,778,80,12,0,42,1,311,491,129
AT1G13740,Germination,901,829,61,11,0,131,0,136,452,265
AT1G69260,Germination,1057,980,68,9,0,77,0,307,471,288
AT2G26040,Dormancy,808,760,41,7,0,52,1,189,485,136
AT1G15100,Dormancy,1105,952,147,6,0,31,2,396,463,372
AT4G33950,Dormancy,666,650,10,6,0,26,0,90,468,104
AT2G29090,Germination,1184,997,182,5,0,345,5,464,479,83
AT5G05440,Dormancy,1360,1205,150,5,0,0,0,126,482,912
AT3G51920,Germination,1088,984,99,5,0,22,94,272,455,354
AT4G34390,Germination,974,879,90,5,0,0,0,428,447,199
AT3G62090,Dormancy,732,687,40,5,0,18,0,182,462,120
AT4G09570,Dormancy,1432,1293,135,4,0,13,0,148,470,944
AT1G16540,Dormancy,1065,981,80,4,0,52,87,373,447,194
AT3G54810,Germination,568,540,24,4,0,41,1,95,427,36
AT3G59220,Germination,1556,1403,150,3,0,4,71,225,464,948
AT2G32460,Dormancy,1270,1181,86,3,0,13,45,159,449,696
AT3G11410,Germination,1154,1083,68,3,0,112,0,563,454,99
AT3G47620,Germination,844,786,55,3,0,50,0,38,459,358
AT3G24650,Dormancy,751,679,71,1,0,152,1,98,470,103
AT5G25350,Germination,513,508,4,1,0,1,0,29,462,27
AT1G22770,Germination,1905,1718,187,0,0,0,18,58,457,1559
AT2G25490,Germination,1188,1085,103,0,0,0,0,394,426,471
AT5G51810,Germination,1294,1203,91,0,0,658,37,211,471,8
AT1G01060,Dormancy,878,821,57,0,0,0,5,22,491,417
AT2G46830,Dormancy,796,752,44,0,0,1,24,109,462,244
AT1G30040,Germination,681,659,22,0,0,205,1,25,463,9
AT4G26070,Dormancy,594,582,12,0,0,3,7,9,457,130
AT3G24220,Dormancy,481,478,3,0,0,8,1,20,431,24
