Candidate	Anchor	Anchor Function	Consensus Level	P-CEIN Pos	P-CEIN Neg	KNN-RBH	NPC	ClusterPath
AT2G05580	AT5G67030	Dormancy	3	1	0	1	0	1
AT3G26770	AT5G67030	Dormancy	3	1	0	1	0	1
AT3G03310	AT5G67030	Dormancy	3	1	0	1	0	1
AT1G52920	AT5G67030	Dormancy	3	1	0	1	0	1
AT5G52570(D)	AT5G67030	Dormancy	3	1	0	1	0	1
AT2G28720	AT5G67030	Dormancy	3	1	0	1	0	1
AT5G03180	AT5G67030	Dormancy	3	1	0	1	0	1
AT1G24735	AT5G67030	Dormancy	3	1	0	1	0	1
AT1G15380	AT5G67030	Dormancy	3	1	0	1	0	1
AT4G28390	AT5G67030	Dormancy	3	1	0	1	0	1
AT5G35660	AT5G67030	Dormancy	3	1	0	1	0	1
AT4G33980	AT5G67030	Dormancy	3	1	0	1	0	1
AT4G03200	AT5G67030	Dormancy	3	1	0	1	0	1
AT1G19540	AT5G67030	Dormancy	3	1	0	1	0	1
AT3G20250	AT5G67030	Dormancy	3	1	0	1	0	1
AT5G49990	AT5G67030	Dormancy	3	1	0	1	0	1
AT5G63030	AT5G67030	Dormancy	3	1	0	1	0	1
AT5G57790	AT5G67030	Dormancy	3	1	0	1	0	1
AT5G51760(G)	AT5G67030	Dormancy	3	1	0	1	0	1
AT1G17090	AT5G67030	Dormancy	3	1	0	1	0	1
AT5G23850	AT5G67030	Dormancy	3	1	0	1	0	1
AT1G23120	AT5G67030	Dormancy	3	1	0	1	0	1
AT2G33590	AT5G67030	Dormancy	3	1	0	1	0	1
AT2G45290	AT5G67030	Dormancy	3	1	0	1	0	1
AT4G13010	AT5G67030	Dormancy	3	1	0	1	0	1
AT2G20770	AT5G67030	Dormancy	3	1	0	1	0	1
AT5G47810	AT5G67030	Dormancy	3	1	0	1	0	1
AT1G01240	AT5G67030	Dormancy	3	1	0	1	0	1
AT5G18130	AT5G67030	Dormancy	3	1	0	1	0	1
AT1G06570	AT5G67030	Dormancy	3	1	0	1	0	1
AT4G02280	AT5G67030	Dormancy	3	1	0	1	0	1
AT3G14595	AT5G67030	Dormancy	3	1	0	1	0	1
AT2G47670	AT5G67030	Dormancy	3	1	0	1	0	1
AT3G11930	AT5G67030	Dormancy	3	1	0	1	0	1
AT3G03150	AT5G67030	Dormancy	2	1	0	0	0	1
AT4G27320	AT5G67030	Dormancy	2	0	1	0	1	0
AT3G15580	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G19930	AT5G67030	Dormancy	2	0	0	1	0	1
AT5G35370	AT5G67030	Dormancy	2	1	0	1	0	0
AT5G59220	AT5G67030	Dormancy	2	1	0	1	0	0
AT1G06630	AT5G67030	Dormancy	2	1	0	0	0	1
AT4G28020	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G34360	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G28740	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G77090	AT5G67030	Dormancy	2	1	0	1	0	0
AT2G39050	AT5G67030	Dormancy	2	1	0	0	0	1
AT4G21680	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G03520	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G69790	AT5G67030	Dormancy	2	0	0	1	0	1
AT3G50740	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G64780	AT5G67030	Dormancy	2	0	0	1	0	1
AT1G01170	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G30500	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G77000	AT5G67030	Dormancy	2	1	0	1	0	0
AT3G51860	AT5G67030	Dormancy	2	1	0	1	0	0
AT4G01026(D)	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G50170	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G15280	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G59340	AT5G67030	Dormancy	2	1	0	0	0	1
AT4G18280	AT5G67030	Dormancy	2	1	0	0	0	1
AT4G20820	AT5G67030	Dormancy	2	1	0	0	0	1
AT4G09600	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G03790(D)	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G03520	AT5G67030	Dormancy	2	1	0	1	0	0
AT5G51020	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G13360	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G47770	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G12310	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G06950	AT5G67030	Dormancy	2	0	1	0	1	0
AT2G22240	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G08570	AT5G67030	Dormancy	2	1	0	1	0	0
AT3G01350	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G61980	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G15010	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G02120	AT5G67030	Dormancy	2	0	0	1	0	1
AT3G59940	AT5G67030	Dormancy	2	1	0	1	0	0
AT1G64180	AT5G67030	Dormancy	2	0	0	1	0	1
AT3G26330	AT5G67030	Dormancy	2	1	0	1	0	0
AT2G25625	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G20960(D)	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G07500	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G45145	AT5G67030	Dormancy	2	1	0	1	0	0
AT2G38800	AT5G67030	Dormancy	2	0	0	1	0	1
AT1G30260	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G56430	AT5G67030	Dormancy	2	0	1	0	1	0
AT3G02875	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G67500	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G78600	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G08240	AT5G67030	Dormancy	2	1	0	1	0	0
AT1G63720	AT5G67030	Dormancy	2	1	0	1	0	0
AT3G44340	AT5G67030	Dormancy	2	0	1	0	1	0
AT4G24220	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G65550	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G14530	AT5G67030	Dormancy	2	1	0	1	0	0
AT1G68020	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G01300	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G54500	AT5G67030	Dormancy	2	0	0	1	0	1
AT4G17840	AT5G67030	Dormancy	2	1	0	1	0	0
AT5G62490	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G21780	AT5G67030	Dormancy	2	1	0	1	0	0
AT1G01970	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G60430	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G57550	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G23340	AT5G67030	Dormancy	2	1	0	1	0	0
AT2G38820	AT5G67030	Dormancy	2	1	0	1	0	0
AT3G22490	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G11530	AT5G67030	Dormancy	2	1	0	1	0	0
AT5G59760	AT5G67030	Dormancy	2	1	0	1	0	0
AT5G66730	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G23090	AT5G67030	Dormancy	2	1	0	0	1	0
AT5G40420	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G27750	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G04560	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G12960	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G78780	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G62260	AT5G67030	Dormancy	2	1	0	1	0	0
AT4G37760	AT5G67030	Dormancy	2	1	0	1	0	0
AT4G33670	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G19150	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G65890	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G57900	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G78130	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G14520	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G16730	AT5G67030	Dormancy	2	1	0	0	0	1
AT4G27170	AT5G67030	Dormancy	2	0	0	1	0	1
AT4G18880	AT5G67030	Dormancy	2	1	0	1	0	0
AT2G22080	AT5G67030	Dormancy	2	1	0	1	0	0
AT1G01470	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G42690	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G54940	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G42950	AT5G67030	Dormancy	2	1	0	1	0	0
AT1G51090	AT5G67030	Dormancy	2	1	0	0	0	1
AT4G26120	AT5G67030	Dormancy	2	1	0	1	0	0
AT3G05120(G)	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G29990	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G26040	AT5G67030	Dormancy	2	1	0	1	0	0
AT2G21930	AT5G67030	Dormancy	2	1	0	1	0	0
AT4G10330	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G64900	AT5G67030	Dormancy	2	1	0	1	0	0
AT1G08170	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G50980	AT5G67030	Dormancy	2	0	0	1	0	1
AT2G36220	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G01210	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G12490	AT5G67030	Dormancy	2	1	0	0	0	1
AT4G11570	AT5G67030	Dormancy	2	1	0	0	0	1
AT5G05320	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G09970	AT5G67030	Dormancy	2	0	0	1	0	1
AT1G03890	AT5G67030	Dormancy	2	1	0	0	0	1
AT4G19390	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G31480	AT5G67030	Dormancy	2	1	0	1	0	0
AT5G65100	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G47340	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G33520	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G48860	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G67920	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G47550	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G21410	AT5G67030	Dormancy	2	1	0	1	0	0
AT5G04500	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G18570	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G21490	AT5G67030	Dormancy	2	1	0	0	0	1
AT3G04350	AT5G67030	Dormancy	2	1	0	0	0	1
AT2G37970	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G70810	AT5G67030	Dormancy	2	0	0	1	0	1
AT1G29680	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G80160	AT5G67030	Dormancy	2	1	0	1	0	0
AT1G03470	AT5G67030	Dormancy	2	1	0	1	0	0
AT3G21370	AT5G67030	Dormancy	2	1	0	0	0	1
AT1G70900	AT5G67030	Dormancy	1	0	0	0	1	0
AT3G52750	AT5G67030	Dormancy	1	0	1	0	0	0
AT5G05570	AT5G67030	Dormancy	1	0	0	0	1	0
AT3G62690	AT5G67030	Dormancy	1	0	0	0	0	1
AT3G48150	AT5G67030	Dormancy	1	0	0	0	1	0
