ID_REF,Label,#Unique,#1-Method,#2-Methods,#3-Methods,#4-Methods,P-CEIN Pos,P-CEIN Neg,KNN-RBH,NPC-1,NPC-2,NPC-3,ClusterPath
AT5G67030,Dormancy,698,531,133,34,0,335,96,98,146,27,0,197
AT5G52570,Dormancy,642,535,75,32,0,311,70,73,138,31,2,156
AT4G01026,Dormancy,643,511,105,27,0,290,98,66,117,33,1,197
AT5G51760,Germination,538,425,88,25,0,200,33,77,129,37,3,197
AT3G05120,Germination,787,627,145,15,0,348,87,61,123,27,2,314
AT5G20960,Dormancy,627,497,118,12,0,294,71,29,138,38,2,197
AT1G15550,Germination,340,300,31,9,0,84,4,61,119,28,0,93
AT1G48630,Germination,710,628,74,8,0,281,31,26,133,32,1,296
AT1G27320,Dormancy,806,749,51,6,0,31,8,19,145,20,2,644
AT4G18130,Germination,761,694,62,5,0,84,38,48,124,26,3,510
AT3G63520,Dormancy,773,731,37,5,0,198,120,40,122,30,3,307
AT2G04240,Dormancy,444,410,29,5,0,39,35,31,134,24,2,218
AT3G51880,Dormancy,690,655,31,4,0,269,95,17,152,23,1,172
AT4G16250,Germination,471,446,21,4,0,101,56,33,144,31,1,134
AT2G40220,Dormancy,445,428,13,4,0,36,2,10,141,24,3,250
AT4G11110,Dormancy,1175,1078,94,3,0,18,10,23,145,23,0,1056
AT1G01360,Dormancy,898,830,65,3,0,307,246,30,130,35,3,218
AT1G72770,Germination,797,754,40,3,0,109,300,55,123,17,0,239
AT1G78390,Dormancy,552,511,38,3,0,267,85,42,144,24,2,32
AT5G37260,Dormancy,530,504,23,3,0,131,139,15,136,34,3,101
AT5G45830,Dormancy,399,373,23,3,0,110,26,46,158,18,1,69
AT1G66350,Dormancy,343,318,22,3,0,114,2,45,142,24,2,42
AT3G20770,Dormancy,746,687,57,2,0,60,34,24,148,31,0,510
AT5G48870,Germination,1096,997,98,1,0,279,154,4,127,27,4,601
AT5G57390,Dormancy,1191,1099,91,1,0,37,4,0,153,34,0,1056
AT5G13530,Germination,1145,1054,90,1,0,26,1,12,120,19,3,1056
AT3G50500,Dormancy,1169,1086,82,1,0,1,1,2,156,37,0,1056
AT5G40280,Germination,1150,1069,80,1,0,5,1,7,139,24,0,1056
AT5G60410,Dormancy,787,739,47,1,0,24,2,12,129,24,1,644
AT5G02310,Germination,730,698,31,1,0,14,0,3,122,37,1,586
AT2G01570,Dormancy,470,444,25,1,0,76,2,0,144,24,3,248
AT2G31660,Germination,245,231,13,1,0,91,3,0,118,18,2,28
AT4G25420,Germination,304,294,9,1,0,56,3,33,145,19,1,58
AT2G26040,Dormancy,230,221,8,1,0,35,3,13,144,21,2,22
AT2G38310,Dormancy,338,332,5,1,0,119,11,17,140,27,0,31
AT2G43790,Dormancy,1207,1116,91,0,0,36,21,0,154,29,2,1056
AT5G08620,Dormancy,798,729,69,0,0,28,1,0,142,21,3,672
AT5G44200,Germination,886,827,59,0,0,37,2,0,135,30,2,739
AT5G25900,Germination,779,721,58,0,0,3,2,2,129,27,2,672
AT5G03280,Germination,827,771,56,0,0,43,11,0,122,33,2,672
AT2G26300,Germination,691,647,44,0,0,10,2,1,130,24,3,565
AT3G04870,Dormancy,727,690,37,0,0,171,91,0,146,23,3,330
AT2G38050,Germination,806,774,32,0,0,100,0,0,134,36,2,566
AT1G22770,Germination,641,614,27,0,0,0,1,0,134,27,1,505
AT4G17870,Dormancy,409,386,23,0,0,136,15,9,140,27,2,103
AT4G36930,Dormancy,379,359,20,0,0,98,9,29,160,27,3,73
AT5G46790,Dormancy,267,249,18,0,0,22,0,38,133,18,1,73
AT5G05440,Dormancy,535,518,17,0,0,182,43,0,147,30,2,148
AT5G53160,Dormancy,450,433,17,0,0,131,4,8,166,37,0,121
AT1G48270,Dormancy,696,680,16,0,0,26,8,0,141,29,1,507
AT1G03790,Dormancy,526,510,16,0,0,204,62,1,160,26,1,88
AT1G15100,Dormancy,421,405,16,0,0,177,12,1,125,37,2,83
AT3G59220,Germination,363,349,14,0,0,1,1,0,152,26,4,193
AT5G05700,Germination,463,450,13,0,0,8,1,0,129,23,3,312
AT1G31970,Dormancy,450,438,12,0,0,31,0,0,130,19,1,281
AT1G52340,Dormancy,526,515,11,0,0,2,3,1,141,31,2,357
AT3G11540,Dormancy,330,319,11,0,0,8,11,27,122,27,4,142
AT1G18080,Germination,307,296,11,0,0,35,3,0,147,21,1,111
AT5G20910,Germination,306,295,11,0,0,31,7,0,150,24,1,104
AT2G44950,Dormancy,389,380,9,0,0,25,1,6,136,30,2,198
AT1G09570,Germination,495,488,7,0,0,60,2,0,134,24,1,281
AT5G06100,Dormancy,492,485,7,0,0,7,4,0,152,34,1,301
AT1G79460,Germination,371,364,7,0,0,2,9,3,140,22,3,199
AT4G09570,Dormancy,379,373,6,0,0,3,8,1,141,18,2,212
AT5G35750,Dormancy,434,429,5,0,0,67,10,1,134,35,2,190
AT2G23460,Germination,417,412,5,0,0,11,0,0,128,32,1,250
AT3G03450,Dormancy,327,322,5,0,0,113,2,0,135,31,2,49
AT1G14920,Dormancy,325,320,5,0,0,7,1,0,130,20,1,171
AT1G16540,Dormancy,260,255,5,0,0,22,8,1,146,34,2,52
AT2G21660,Germination,240,235,5,0,0,32,1,0,132,30,1,49
AT5G63320,Dormancy,371,367,4,0,0,15,1,0,148,37,2,172
AT2G20180,Dormancy,365,361,4,0,0,21,2,2,151,24,4,165
AT5G17490,Dormancy,360,356,4,0,0,18,4,0,136,37,1,168
AT2G36270,Dormancy,256,252,4,0,0,33,6,3,155,21,3,39
AT3G62090,Dormancy,244,240,4,0,0,12,37,13,137,33,3,13
AT1G54160,Germination,223,219,4,0,0,6,8,0,122,25,0,66
AT3G11240,Germination,355,352,3,0,0,1,5,0,127,28,1,196
AT1G31930,Germination,327,324,3,0,0,14,0,0,137,26,6,147
AT2G01830,Dormancy,303,300,3,0,0,39,3,0,149,28,2,85
AT3G51770,Dormancy,287,284,3,0,0,36,0,0,128,26,2,98
AT2G28350,Dormancy,270,267,3,0,0,10,0,0,141,20,1,101
AT3G24650,Dormancy,244,241,3,0,0,69,1,0,122,29,5,21
AT3G51920,Germination,301,299,2,0,0,2,53,0,125,20,2,101
AT1G10430,Germination,291,289,2,0,0,0,0,0,111,28,3,151
AT1G55870,Germination,280,278,2,0,0,47,3,0,126,28,3,75
AT2G29090,Germination,278,276,2,0,0,82,41,3,119,27,2,6
AT2G32460,Dormancy,278,276,2,0,0,3,2,0,160,23,2,90
AT5G66880,Dormancy,230,228,2,0,0,12,6,0,149,29,0,36
AT2G30250,Germination,189,187,2,0,0,3,7,0,129,25,3,24
AT2G33610,Dormancy,433,432,1,0,0,1,1,0,159,23,0,250
AT2G41430,Germination,262,261,1,0,0,30,12,0,141,29,1,50
AT2G40330,Dormancy,249,248,1,0,0,28,1,0,139,36,1,45
AT4G33950,Dormancy,240,239,1,0,0,28,31,1,142,31,3,5
AT1G13740,Germination,220,219,1,0,0,7,2,0,135,31,0,46
AT3G47620,Germination,214,213,1,0,0,2,1,0,124,23,1,64
AT5G57050,Germination,205,204,1,0,0,0,1,0,114,36,2,53
AT4G34390,Germination,187,186,1,0,0,4,0,1,135,29,1,18
AT1G01060,Dormancy,232,232,0,0,0,1,2,0,140,22,2,65
AT1G69260,Germination,223,223,0,0,0,11,5,12,131,19,2,43
AT4G25700,Dormancy,217,217,0,0,0,1,2,0,126,35,1,52
AT3G24220,Dormancy,211,211,0,0,0,27,4,0,148,28,1,3
AT3G54810,Germination,210,210,0,0,0,16,41,0,126,22,2,3
AT2G46830,Dormancy,198,198,0,0,0,1,4,0,128,29,0,36
AT2G25490,Germination,194,194,0,0,0,3,2,0,109,30,3,47
AT3G63010,Germination,181,181,0,0,0,2,0,1,133,30,1,14
AT5G25350,Germination,175,175,0,0,0,5,6,0,121,38,2,3
AT1G30040,Germination,174,174,0,0,0,2,1,0,144,26,1,0
AT3G11410,Germination,171,171,0,0,0,8,1,0,128,21,1,12
AT5G51810,Germination,164,164,0,0,0,8,1,0,126,28,0,1
AT4G26070,Dormancy,162,162,0,0,0,4,3,0,124,23,1,7
