ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT1G01060,Dormancy,"[0, 0]",22,0,22,0.8622501769722593,0.015817957514436085,0.9016071299449817,0.8406111904882733
AT1G01010,Candidate,"[1, 0]",1,1,0,0.8853502823179475,0.0,0.8853502823179475,0.8853502823179475
AT1G01020,Candidate,"[0, 2]",2,2,0,0.8806587291738633,0.040583103220512284,0.9212418323943756,0.8400756259533511
AT1G01040,Candidate,"[3, 1]",4,4,0,0.873910039986264,0.026173739982821673,0.9180607321064056,0.850085240716317
AT1G01050,Candidate,"[2, 1]",3,2,1,0.8841308199905503,0.041950940960676496,0.9428585124157851,0.8474789165584465
AT1G01080,Candidate,"[10, 14]",24,20,4,0.9109289934161385,0.03885064450881117,0.9814104936618471,0.8457619541624236
AT1G01090,Candidate,"[12, 17]",29,25,4,0.9009936187789743,0.04165453618970685,0.9875804683791497,0.8403425530127161
AT1G01100,Candidate,"[11, 12]",23,20,3,0.9221083063539438,0.03974841695075306,0.9830580477906998,0.8437388802459298
AT1G01110,Candidate,"[12, 13]",25,21,4,0.8882867499445526,0.035125110204073356,0.9708363433581041,0.8422804854328501
AT1G01120,Candidate,"[0, 1]",1,1,0,0.8755824474921768,0.0,0.8755824474921768,0.8755824474921768
AT1G01130,Candidate,"[1, 1]",2,2,0,0.8671787850665031,0.004377556409004779,0.871556341475508,0.8628012286574984
AT1G01140,Candidate,"[2, 1]",3,3,0,0.8828431832052948,0.020700511904148212,0.9110838270521817,0.8620433166884199
AT1G01160,Candidate,"[6, 5]",11,11,0,0.877501278976312,0.026458804708976803,0.926710193691774,0.8405354483488375
AT1G01170,Candidate,"[5, 2]",7,6,1,0.8903169849636408,0.029010737428270154,0.9313338970826768,0.8594683850473691
AT1G01180,Candidate,"[1, 2]",3,2,1,0.8625243966837085,0.018720190728129648,0.8879764928489702,0.8434887200904575
AT1G01200,Candidate,"[2, 0]",2,2,0,0.8639032401591796,0.0029243821195827913,0.8668276222787624,0.8609788580395968
AT1G01210,Candidate,"[3, 1]",4,4,0,0.8504755222160048,0.0036526893028971303,0.8542658069764413,0.8444373119557146
AT1G01220,Candidate,"[6, 5]",11,10,1,0.8933474182868852,0.029523711460310294,0.9453023189632243,0.8563771710901815
AT1G01230,Candidate,"[5, 3]",8,8,0,0.8903880512515432,0.0299064082425041,0.9432441558854304,0.8468653229236516
AT1G01240,Candidate,"[12, 3]",15,15,0,0.9170093505376544,0.0345754202690221,0.9660744281491401,0.8456077610662633
AT1G01250,Candidate,"[5, 3]",8,8,0,0.8877673836377169,0.033026211516289525,0.9333387219808112,0.8487984343372726
AT1G01260,Candidate,"[3, 1]",4,4,0,0.8749865810786863,0.021303088814627946,0.911708164664927,0.8605037029576419
AT1G01290,Candidate,"[12, 14]",26,22,4,0.9000007287243265,0.036974036748462655,0.9629423679968834,0.841566367067298
AT1G01300,Candidate,"[10, 11]",21,17,4,0.8960211373708014,0.0386076882696222,0.9665922691570481,0.844388400244259
AT1G01320,Candidate,"[9, 16]",25,19,6,0.8969026118717714,0.03796574718720609,0.9607292303384892,0.8426515082063178
AT1G01350,Candidate,"[0, 3]",3,3,0,0.8736976077149953,0.018711094874226272,0.8971250530190339,0.8513291343862518
AT1G01355,Candidate,"[10, 6]",16,12,4,0.8886354942356016,0.028682546995778047,0.9433583554955611,0.8467295184478008
AT1G01360,Dormancy,"[1, 0]",403,402,1,0.8816735864291304,0.029191697576834343,0.9810548899557388,0.8408590252217885
AT1G01370,Candidate,"[5, 2]",7,7,0,0.8868209715486278,0.02527351099758274,0.9387582801163075,0.8536677381891695
AT1G01430,Candidate,"[10, 12]",22,18,4,0.8934387173616709,0.03544453445990767,0.979121285407414,0.8463069258761398
AT1G01470,Candidate,"[10, 6]",16,13,3,0.8922958076648096,0.03532036011744123,0.9422960843517152,0.8464976771599397
AT1G01480,Candidate,"[10, 4]",14,14,0,0.918622897676008,0.03617957224387975,0.9550020975204059,0.8538058462163258
AT1G01490,Candidate,"[6, 9]",15,15,0,0.8745334134310079,0.020672093077931563,0.9168399910556833,0.840616240364774
AT1G01500,Candidate,"[9, 3]",12,12,0,0.9017511333084487,0.03535281739788205,0.9498624044987456,0.8412166743681116
AT1G01510,Candidate,"[12, 13]",25,22,3,0.915508496399026,0.04561266435887757,0.9910735570517903,0.8430617393367771
AT1G01520,Candidate,"[5, 4]",9,9,0,0.8905962742316041,0.03655059934083669,0.9633002228729397,0.8444723550501284
AT1G01540,Candidate,"[1, 0]",1,1,0,0.8437384116339279,0.0,0.8437384116339279,0.8437384116339279
AT1G01550,Candidate,"[4, 3]",7,6,1,0.8699396971965582,0.023367374863293287,0.9103162082313684,0.841705841339014
AT1G01600,Candidate,"[1, 1]",2,2,0,0.8630445732845553,0.016029463356915852,0.8790740366414712,0.8470151099276395
