ID_REF	#Dormancy_Neighbors	#Germination_Neighbors	#UniqueNeighbors	1-Neighborhood
AT1G01020	[17]	[14]	31	AT1G01360,AT2G32460,AT5G37260,AT1G52340,AT1G14920,AT1G01060,AT2G40330,AT4G17870,AT5G35750,AT1G66350,AT2G46830,AT5G20960,AT5G66880,AT5G57390,AT4G33950,AT2G01830,AT2G28350/AT4G16250,AT5G40280,AT5G05700,AT1G22770,AT5G57050,AT5G03280,AT1G79460,AT1G09570,AT1G54160,AT2G30250,AT1G15550,AT1G48630,AT1G10430,AT5G44200
AT1G01040	[16]	None	16	AT2G32460,AT2G40220,AT5G52570,AT4G17870,AT2G01570,AT4G11110,AT2G36270,AT3G50500,AT3G62090,AT1G48270,AT2G27300,AT2G01830,AT5G57390,AT5G66880,AT1G16540,AT3G63520
AT1G01290	[14]	[10]	24	AT2G40220,AT5G63320,AT1G52340,AT2G43790,AT3G24220,AT2G40330,AT2G44950,AT4G18620,AT5G60410,AT5G17490,AT5G66880,AT2G27300,AT4G01026,AT2G28350/AT2G38050,AT3G11240,AT1G69260,AT1G22770,AT5G40280,AT2G21660,AT4G18130,AT2G30250,AT2G25490,AT1G48630
AT1G01440	[23]	[17]	40	AT1G01360,AT4G09570,AT1G14920,AT2G33610,AT1G16540,AT2G43790,AT2G04240,AT5G53160,AT2G38310,AT4G26070,AT5G67030,AT3G51880,AT3G63520,AT2G32460,AT2G26040,AT4G17870,AT2G46830,AT3G62090,AT3G11540,AT3G50500,AT4G36930,AT1G48270,AT2G27300/AT3G47620,AT3G63010,AT3G11240,AT1G69260,AT1G13740,AT1G80340,AT3G51920,AT5G03280,AT5G25350,AT2G21660,AT1G55870,AT3G59220,AT5G57050,AT1G09570,AT5G25900,AT1G31930,AT5G13530
AT1G01540	[14]	[13]	27	AT3G20770,AT3G24220,AT2G40330,AT1G01060,AT4G17870,AT5G53160,AT4G18620,AT2G38310,AT4G11110,AT2G36270,AT3G50500,AT5G45830,AT3G03450,AT5G45860/AT2G41430,AT1G72770,AT3G63010,AT3G51920,AT1G69260,AT4G16250,AT5G48870,AT2G21660,AT4G25420,AT2G23460,AT2G30250,AT5G20910,AT4G34390
AT1G01710	[16]	[12]	28	AT5G08620,AT1G15100,AT5G63320,AT2G20180,AT5G06100,AT2G01570,AT2G44950,AT2G46830,AT2G36270,AT5G17490,AT2G27300,AT2G01830,AT3G11540,AT1G27320,AT5G67030,AT2G28350/AT3G63010,AT1G13740,AT1G80340,AT5G25350,AT3G11410,AT1G18080,AT2G21660,AT4G18130,AT1G54160,AT2G26300,AT2G30250,AT1G10430
AT1G01730	None	[10]	10	AT1G72770,AT3G51920,AT1G55870,AT3G59220,AT4G18130,AT5G51810,AT1G15550,AT5G02310,AT1G48630,AT1G30040
AT1G01780	[13]	None	13	AT1G78390,AT2G32460,AT2G40220,AT4G09570,AT1G14920,AT2G43790,AT2G38310,AT2G46830,AT2G27300,AT2G33610,AT2G01830,AT3G11540,AT3G24650
AT1G01800	[14]	[12]	26	AT1G15100,AT2G32460,AT5G37260,AT5G06100,AT5G53160,AT1G66350,AT2G01570,AT2G44950,AT1G31970,AT2G46830,AT3G62090,AT1G03790,AT4G18620,AT5G46790/AT1G72770,AT5G40280,AT5G48870,AT1G13740,AT1G22770,AT3G11410,AT5G13530,AT1G79460,AT2G25490,AT2G23460,AT2G29090,AT5G44200
AT1G01860	[18]	[16]	34	AT2G32460,AT5G37260,AT2G43790,AT5G35750,AT4G17870,AT4G25700,AT4G11110,AT2G46830,AT2G36270,AT4G26070,AT3G04870,AT1G48270,AT4G33950,AT5G17490,AT3G11540,AT5G66880,AT5G46790,AT5G45860/AT2G41430,AT3G47620,AT3G51920,AT1G69260,AT5G05700,AT5G25350,AT5G03280,AT2G21660,AT5G51810,AT2G31660,AT1G79460,AT4G25420,AT5G02310,AT2G30250,AT1G10430,AT4G34390
