ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT1G01060,Dormancy,"[64, 49]",16427,2436,13991,0.275173665388051,0.1890825828629277,0.9016071299449817,1.6778514156397459e-06
AT1G01010,Candidate,"[65, 49]",114,77,37,0.3468105878414891,0.23946929801758823,0.8853502823179475,0.00037770663847548527
AT1G01020,Candidate,"[65, 49]",114,75,39,0.3903028311043734,0.21530877250055908,0.9212418323943756,0.0013090956553705466
AT1G01030,Candidate,"[65, 49]",114,72,42,0.43656608566302446,0.21647541487909536,0.8294450766990134,0.006541147387546956
AT1G01040,Candidate,"[65, 49]",114,91,23,0.37897520498726883,0.2577100592137825,0.9180607321064056,0.007344159351025984
AT1G01050,Candidate,"[65, 49]",114,81,33,0.41983585597105694,0.221584160232943,0.9428585124157851,0.0003612194647777862
AT1G01080,Candidate,"[65, 49]",114,65,49,0.5729843523165585,0.28041916640107306,0.9814104936618471,0.010981797095215474
AT1G01090,Candidate,"[65, 49]",114,64,50,0.5750847126973784,0.28244152898157854,0.9875804683791497,0.00012003262015747207
AT1G01100,Candidate,"[65, 49]",114,66,48,0.5706495639430845,0.29535442756454866,0.9830580477906998,0.017574486121749514
AT1G01110,Candidate,"[65, 49]",114,63,51,0.5709066066994073,0.2651966258846085,0.9708363433581041,0.009270959922777608
AT1G01120,Candidate,"[65, 49]",114,64,50,0.24096723517183474,0.17651291713906853,0.8755824474921768,0.0048711611253148025
AT1G01130,Candidate,"[65, 49]",114,82,32,0.35074886386844323,0.2217971783325235,0.871556341475508,0.0033264399786317824
AT1G01140,Candidate,"[65, 49]",114,73,41,0.4293751372487089,0.2420345468827953,0.9110838270521817,0.0038871460997712093
AT1G01160,Candidate,"[65, 49]",114,89,25,0.3877387835468233,0.27488952187557975,0.926710193691774,0.008315375650467575
AT1G01170,Candidate,"[65, 49]",114,63,51,0.45673035701069326,0.25979285432063715,0.9313338970826768,0.01804987501923844
AT1G01180,Candidate,"[65, 49]",114,54,60,0.4402336434387192,0.22336435059911192,0.8879764928489702,0.014657467515919816
AT1G01200,Candidate,"[65, 49]",114,55,59,0.3725201868824849,0.22151457171909747,0.8668276222787624,0.016402202204353792
AT1G01210,Candidate,"[65, 49]",114,74,40,0.47743045290547315,0.23336827482348577,0.8542658069764413,0.008113634933489803
AT1G01220,Candidate,"[65, 49]",114,62,52,0.5328839085441062,0.25328477313207237,0.9453023189632243,0.009830038895721928
AT1G01225,Candidate,"[65, 49]",114,48,66,0.2880057679274357,0.19153601349114246,0.7980467127346866,0.01045697369668821
AT1G01230,Candidate,"[65, 49]",114,79,35,0.4186967415670369,0.2633520454482331,0.9432441558854304,0.009771196396120055
AT1G01240,Candidate,"[65, 49]",114,73,41,0.46090402251447055,0.28243480156795886,0.9660744281491401,0.004731413494404307
AT1G01250,Candidate,"[65, 49]",114,85,29,0.38574792104349814,0.27267158593715685,0.9333387219808112,0.006239616689789167
AT1G01260,Candidate,"[65, 49]",114,91,23,0.39782194174846663,0.2519354043691331,0.911708164664927,0.003046326379268004
AT1G01290,Candidate,"[65, 49]",114,64,50,0.557275811519775,0.28364346753906233,0.9629423679968834,0.005460755402808613
AT1G01300,Candidate,"[65, 49]",114,61,53,0.5606397234287905,0.27205755878354604,0.9665922691570481,0.0016190330716366053
AT1G01310,Candidate,"[65, 49]",114,37,77,0.18670652346422867,0.1331612725454235,0.6123515751205203,0.0027287226555445985
AT1G01320,Candidate,"[65, 49]",114,63,51,0.5626205033675222,0.27258780418165635,0.9607292303384892,0.016783808964555343
AT1G01340,Candidate,"[65, 49]",114,57,57,0.28137554746396776,0.19347346037177307,0.7740756362045145,0.0015996840499071315
AT1G01350,Candidate,"[65, 49]",114,71,43,0.39472821645463435,0.2268686798787095,0.8971250530190339,0.003441877166950881
AT1G01355,Candidate,"[65, 49]",114,57,57,0.5589186870613667,0.2445561469696227,0.9433583554955611,0.0009431556748098795
AT1G01360,Dormancy,"[64, 49]",16427,9368,7059,0.3452320903827404,0.2358559944038903,0.9810548899557388,9.755115881611156e-05
AT1G01370,Candidate,"[65, 49]",114,67,47,0.5128923027743142,0.2555697077417929,0.9387582801163075,0.0016266938291550118
AT1G01420,Candidate,"[65, 49]",114,63,51,0.38983342249069214,0.20023466967217263,0.7488501584914274,0.016614888394687024
AT1G01430,Candidate,"[65, 49]",114,61,53,0.5726758705273574,0.2603192422673957,0.979121285407414,0.011915272007009243
AT1G01440,Candidate,"[65, 49]",114,91,23,0.31957232554341164,0.19290146022915722,0.7871081022951962,0.0004931477396947974
AT1G01470,Candidate,"[65, 49]",114,56,58,0.5420421300076226,0.25946394242680065,0.9422960843517152,0.011685694046389732
AT1G01480,Candidate,"[65, 49]",114,70,44,0.473131579911718,0.28293442502210553,0.9550020975204059,0.005080675487680543
AT1G01490,Candidate,"[65, 49]",114,68,46,0.5116157312046072,0.27078340380499705,0.9168399910556833,0.01809836471185244
AT1G01500,Candidate,"[65, 49]",114,86,28,0.41994324678566053,0.2727264213469593,0.9498624044987456,0.004640114508192901
AT1G01510,Candidate,"[65, 49]",114,64,50,0.5660238535924893,0.29724826801396914,0.9910735570517903,0.006681884843405219
AT1G01520,Candidate,"[65, 49]",114,88,26,0.4183854722103211,0.26739105142515635,0.9633002228729397,0.00845204224984592
AT1G01540,Candidate,"[65, 49]",114,75,39,0.4249442312782403,0.22521966747127992,0.8437384116339279,0.03095665849475426
AT1G01550,Candidate,"[65, 49]",114,57,57,0.47685512244698514,0.23765224122714454,0.9103162082313684,0.006698419542483698
AT1G01570,Candidate,"[65, 49]",114,84,30,0.2732183935261771,0.16642096286956337,0.6406013533523168,0.0025662631979524496
AT1G01580,Candidate,"[65, 49]",114,36,78,0.31521579112163656,0.19795850566104825,0.792341718649146,0.005751666721384388
AT1G01600,Candidate,"[65, 49]",114,66,48,0.48136317134445933,0.23047838242661592,0.8790740366414712,0.01106882780566181
AT1G01610,Candidate,"[65, 49]",114,68,46,0.5147932592113654,0.2578815008505992,0.9431953172639898,0.012586571576081054
AT1G01620,Candidate,"[65, 49]",114,63,51,0.5020930958871463,0.23407005359527236,0.9225286365337932,0.02119619166488199
AT1G01630,Candidate,"[65, 49]",114,59,55,0.5388135670864608,0.2236868977170844,0.9077131094381969,0.030059341174817965
AT1G01640,Candidate,"[65, 49]",114,92,22,0.40956397445861564,0.24812929252761887,0.901551100449477,3.670385785220289e-05
AT1G01650,Candidate,"[65, 49]",114,72,42,0.42003650214639277,0.2490592857734662,0.9041390716680595,0.0012893550346260456
AT1G01690,Candidate,"[65, 49]",114,74,40,0.4559695912046633,0.23913663623590375,0.8551117456832462,0.012827446436916589
AT1G01710,Candidate,"[65, 49]",114,89,25,0.4012995156339922,0.23493302289040216,0.8249892513370046,0.006057238183703226
AT1G01720,Candidate,"[65, 49]",114,67,47,0.49542202795015944,0.28012952694369464,0.9829883359653984,0.0014228730603309254
AT1G01725,Candidate,"[65, 49]",114,82,32,0.39427376264129044,0.2549370045826085,0.8965458731264632,0.0003030209464938424
AT1G01730,Candidate,"[65, 49]",114,85,29,0.42463850803342784,0.2648639585094087,0.9421217813246113,0.0028197119628568437
AT1G01740,Candidate,"[65, 49]",114,70,44,0.5073326367125747,0.268171829424045,0.9218041762905282,0.022956317187914715
AT1G01760,Candidate,"[65, 49]",114,70,44,0.47101100586156286,0.2632036184824608,0.8501373965234957,0.006561040756466291
AT1G01770,Candidate,"[65, 49]",114,81,33,0.3852377062558423,0.22677254855127463,0.9111572698466254,0.0035808733178124526
AT1G01780,Candidate,"[65, 49]",114,93,21,0.2926698163252052,0.17398309089088462,0.7588493061445336,0.019722666571138938
AT1G01790,Candidate,"[65, 49]",114,69,45,0.5507466835466575,0.283777163115396,0.9696632020879408,0.002188289517196619
AT1G01800,Candidate,"[65, 49]",114,57,57,0.42660160082696086,0.20062530413863713,0.7999394165891864,0.012700935770312413
AT1G01810,Candidate,"[65, 49]",114,56,58,0.3444719335819722,0.22159247977189528,0.8796551766088722,0.0005429475875412067
AT1G01820,Candidate,"[65, 49]",114,84,30,0.41092432166476234,0.2721681433518388,0.9564312822098122,0.0008872701512380223
AT1G01830,Candidate,"[65, 49]",114,73,41,0.47263927752695745,0.2523659818134393,0.9042428581515114,0.004253459037597947
AT1G01840,Candidate,"[65, 49]",114,75,39,0.4033154466973857,0.20594948098537028,0.8460482631920574,0.0005421788816293315
AT1G01860,Candidate,"[65, 49]",114,67,47,0.541613456469196,0.29969618370058265,0.9599840964542878,0.0027482794712295135
AT1G01880,Candidate,"[65, 49]",114,77,37,0.22634790176117323,0.14073084097436897,0.6346576787925073,0.006863807819178539
AT1G01900,Candidate,"[65, 49]",114,34,80,0.2791573421035622,0.19834290578022196,0.7491707099768824,0.003820886423476625
AT1G01910,Candidate,"[65, 49]",114,56,58,0.447536448560273,0.23922603093709874,0.9154169159488417,0.003038581561177702
AT1G01920,Candidate,"[65, 49]",114,79,35,0.5012724365822855,0.28257430374078346,0.9280547835741233,0.004996733413762974
AT1G01930,Candidate,"[65, 49]",114,72,42,0.4378583978326294,0.2565066018215444,0.9074045238990895,0.004244511021673953
AT1G01940,Candidate,"[65, 49]",114,100,14,0.2876792721164902,0.18926412175892537,0.7884459964751511,0.009376993353646262
AT1G01950,Candidate,"[65, 49]",114,65,49,0.5456648994890202,0.27170841704288967,0.9659974205469181,0.013403970865344814
AT1G01960,Candidate,"[65, 49]",114,73,41,0.49656879087859396,0.27538593320366866,0.963384927784179,0.0006414338429385034
AT1G01970,Candidate,"[65, 49]",114,57,57,0.5120133195001794,0.21383950084873712,0.842838714816045,0.021150032500938852
AT1G01990,Candidate,"[65, 49]",114,91,23,0.37879978628047223,0.2633048292610811,0.916504051859606,0.00010829211674846541
AT1G02000,Candidate,"[65, 49]",114,71,43,0.3580055233071541,0.21698445928269477,0.8507150801404771,0.010080496830134199
AT1G02010,Candidate,"[65, 49]",114,80,34,0.4779908684536509,0.27334104839933904,0.8906073704343269,0.002641771058213157
AT1G02020,Candidate,"[65, 49]",114,90,24,0.3626819235733022,0.25582099500677724,0.9105306998879436,0.000673957663747489
AT1G02050,Candidate,"[65, 49]",114,92,22,0.4738726192899486,0.2485081862172082,0.9316626468968535,0.0032997639146124416
AT1G02060,Candidate,"[65, 49]",114,84,30,0.40827198859777425,0.21693065822570068,0.8626218185707357,0.0020146247218625355
AT1G02080,Candidate,"[65, 49]",114,91,23,0.3633431994170964,0.2349926059601638,0.8743022370703017,0.019398163956343226
AT1G02090,Candidate,"[65, 49]",114,40,74,0.3727552693484076,0.20313094953884248,0.7886953957910181,0.003219610279377184
AT1G02100,Candidate,"[65, 49]",114,78,36,0.49965232027067635,0.2819965645800738,0.9282311454314311,0.0015968562822981892
AT1G02110,Candidate,"[65, 49]",114,73,41,0.4999812963446438,0.2790927767583418,0.9297240488336707,0.004037364542617754
AT1G02120,Candidate,"[65, 49]",114,89,25,0.4174923240200284,0.271233173630664,0.947901310899417,0.0038698190787720224
AT1G02130,Candidate,"[65, 49]",114,64,50,0.539837708343375,0.25727402237176056,0.9686933507375333,0.0012377281781879108
AT1G02140,Candidate,"[65, 49]",114,82,32,0.4974257902978739,0.2834603519734246,0.9401570121603063,0.00018049106475422422
AT1G02145,Candidate,"[65, 49]",114,76,38,0.5225351938785114,0.2932831089117346,0.9655138978786657,0.010273222274253216
AT1G02150,Candidate,"[65, 49]",114,88,26,0.42929443989061955,0.24549985156560694,0.9045686352840175,0.0018141478893356252
AT1G02160,Candidate,"[65, 49]",114,89,25,0.36111746977288695,0.25320021117779906,0.8738298407553642,0.006476559397240511
AT1G02170,Candidate,"[65, 49]",114,71,43,0.2606054100949869,0.20234164171116778,0.8029993619317893,0.00011277349198331288
AT1G02180,Candidate,"[65, 49]",114,65,49,0.5616370704440202,0.27408737242254905,0.9616231140786712,0.02394613023860161
AT1G02230,Candidate,"[65, 49]",114,51,63,0.22756838835284343,0.18215759183314112,0.8651102338723117,0.0012795735015843491
AT1G02260,Candidate,"[65, 49]",114,87,27,0.3651114606425381,0.243576300349684,0.8777687500142455,0.003503285990545951
AT1G02270,Candidate,"[65, 49]",114,95,19,0.37516511569528893,0.24955749945783715,0.9085087961755999,0.0073037801807557265
AT1G02280,Candidate,"[65, 49]",114,76,38,0.4776337165081732,0.24700950197596985,0.911751533846157,0.027153483975452357
AT1G02290,Candidate,"[65, 49]",114,73,41,0.5066874407908788,0.2788077304581138,0.9624650582720132,0.012264148803810257
AT1G02300,Candidate,"[65, 49]",114,49,65,0.424933500322827,0.2229927603754029,0.8247944316465274,0.0013443911073742357
AT1G02305,Candidate,"[65, 49]",114,81,33,0.453912872808713,0.2617756649733634,0.9074503961624542,0.0005998653749195436
AT1G02310,Candidate,"[65, 49]",114,54,60,0.5516644459669446,0.25739902376546303,0.9694772069705607,0.005206289916070485
AT1G02330,Candidate,"[65, 49]",114,95,19,0.38328539911915543,0.2141741115357594,0.8745379727023602,0.0008292003233962742
AT1G02370,Candidate,"[65, 49]",114,79,35,0.4671250796589394,0.2678772055041042,0.9632031429515343,0.003814323158202429
AT1G02380,Candidate,"[65, 49]",114,59,55,0.5254274412916236,0.25125032195825486,0.9587852075511424,0.004654120056975975
AT1G02390,Candidate,"[65, 49]",114,62,52,0.5293883490789543,0.24781900778695945,0.9748639468217352,0.0236037342295006
AT1G02405,Candidate,"[65, 49]",114,48,66,0.4206658838939752,0.22628220745592798,0.848850417888731,0.0017374591416378785
AT1G02410,Candidate,"[65, 49]",114,95,19,0.3021198312820798,0.2018759051788171,0.8538168716490198,0.0014336594691084696
