ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT1G01060,Dormancy,"[0, 0]",22,0,22,0.8622501769722593,0.015817957514436036,0.9016071299449818,0.8406111904882736
AT1G01010,Candidate,"[1, 0]",1,1,0,0.8853502823179474,0.0,0.8853502823179474,0.8853502823179474
AT1G01020,Candidate,"[0, 2]",2,2,0,0.8806587291738633,0.040583103220512284,0.9212418323943756,0.8400756259533511
AT1G01040,Candidate,"[3, 1]",4,4,0,0.8739100399862642,0.02617373998282181,0.9180607321064059,0.8500852407163171
AT1G01050,Candidate,"[2, 1]",3,2,1,0.8841308199905503,0.04195094096067639,0.9428585124157849,0.8474789165584465
AT1G01080,Candidate,"[10, 14]",24,20,4,0.9109289934161385,0.03885064450881118,0.9814104936618471,0.8457619541624236
AT1G01090,Candidate,"[12, 17]",29,25,4,0.9009936187789743,0.041654536189706826,0.9875804683791494,0.8403425530127161
AT1G01100,Candidate,"[11, 12]",23,20,3,0.9221083063539435,0.03974841695075304,0.9830580477906998,0.8437388802459298
AT1G01110,Candidate,"[12, 13]",25,21,4,0.8882867499445526,0.03512511020407337,0.9708363433581039,0.8422804854328501
AT1G01120,Candidate,"[0, 1]",1,1,0,0.875582447492177,0.0,0.875582447492177,0.875582447492177
AT1G01130,Candidate,"[1, 1]",2,2,0,0.8671787850665031,0.004377556409004779,0.871556341475508,0.8628012286574984
AT1G01140,Candidate,"[2, 1]",3,3,0,0.8828431832052951,0.020700511904148247,0.9110838270521819,0.86204331668842
AT1G01160,Candidate,"[6, 5]",11,11,0,0.877501278976312,0.026458804708976828,0.926710193691774,0.8405354483488375
AT1G01170,Candidate,"[5, 2]",7,6,1,0.890316984963641,0.029010737428270133,0.9313338970826769,0.8594683850473692
AT1G01180,Candidate,"[1, 2]",3,2,1,0.8625243966837085,0.018720190728129738,0.8879764928489703,0.8434887200904575
AT1G01200,Candidate,"[2, 0]",2,2,0,0.8639032401591795,0.0029243821195828468,0.8668276222787624,0.8609788580395967
