ID_REF	#SpNeighbors	Score	#Cliques	#MaximalClique	MinDistance	AvgDistance	MaxDistance	Specific Genes
AT2G19080	33	72	32	4	0.028401490123916073	0.04774723170591727	0.06681419673776018	AT1G01060,AT1G01360,AT1G03790,AT1G16540,AT1G31970,AT2G01570,AT2G01830,AT2G04240,AT2G20180,AT2G32460,AT2G40220,AT2G44950,AT3G03450,AT3G20770,AT3G24220,AT3G50500,AT3G51880,AT4G01026,AT4G11110,AT4G17870,AT4G25700,AT4G26070,AT5G05440,AT5G17490,AT5G35750,AT5G45860,AT5G46790,AT5G53160,AT5G57390,AT5G60410,AT5G63320,AT5G66880,AT5G67030
AT1G48380	30	61	27	4	0.027389004744352175	0.04869638942435509	0.06489312963814287	AT1G01360,AT1G15100,AT1G27320,AT1G48270,AT1G66350,AT2G01570,AT2G01830,AT2G20180,AT2G27300,AT2G38310,AT3G03450,AT3G04870,AT3G24650,AT3G63520,AT4G01026,AT4G26070,AT4G33950,AT5G05440,AT5G06100,AT5G08620,AT5G17490,AT5G20960,AT5G45830,AT5G46790,AT5G52570,AT5G57390,AT5G60410,AT5G63320,AT5G66880,AT5G67030
AT3G21740	30	60	27	4	0.03172554757315281	0.047402198235236594	0.06716030897772696	AT1G01060,AT1G01360,AT1G15100,AT1G27320,AT1G52340,AT2G01570,AT2G01830,AT2G04240,AT2G20180,AT2G27300,AT2G38310,AT3G20770,AT3G24650,AT3G50500,AT3G51770,AT3G51880,AT4G01026,AT4G11110,AT4G18620,AT4G26070,AT4G33950,AT5G05440,AT5G06100,AT5G37260,AT5G45830,AT5G53160,AT5G57390,AT5G60410,AT5G63320,AT5G67030
AT5G02850	30	50	21	4	0.024152473748771663	0.04739111300077086	0.06663638036502846	AT1G01060,AT1G16540,AT2G01570,AT2G20180,AT2G26040,AT2G27300,AT2G32460,AT2G43790,AT2G44950,AT2G46830,AT3G03450,AT3G04870,AT3G50500,AT3G51770,AT3G63520,AT4G01026,AT4G09570,AT4G11110,AT4G26070,AT4G33950,AT5G06100,AT5G08620,AT5G17490,AT5G35750,AT5G37260,AT5G45830,AT5G45860,AT5G46790,AT5G60410,AT5G67030
AT5G42740	29	49	22	4	0.03395293836190774	0.0517272768289761	0.06808425341512625	AT1G01360,AT1G14920,AT1G15100,AT1G66350,AT1G78390,AT2G01830,AT2G20180,AT2G26040,AT2G27300,AT2G28350,AT2G36270,AT2G40220,AT2G46830,AT3G20770,AT3G50500,AT3G51770,AT3G51880,AT3G63520,AT4G01026,AT4G18620,AT4G25700,AT5G05440,AT5G08620,AT5G20960,AT5G37260,AT5G45860,AT5G57390,AT5G60410,AT5G66880
AT5G14080	29	44	22	3	0.032228559035102515	0.052154751261401205	0.06760098863161841	AT1G03790,AT1G27320,AT1G31970,AT1G66350,AT1G78390,AT2G01830,AT2G20180,AT2G26040,AT2G28350,AT2G32460,AT2G36270,AT2G38310,AT2G40220,AT2G46830,AT3G04870,AT3G20770,AT3G24650,AT3G51880,AT3G62090,AT4G11110,AT4G17870,AT4G25700,AT5G37260,AT5G45830,AT5G53160,AT5G57390,AT5G63320,AT5G66880,AT5G67030
AT1G22310	29	43	21	4	0.030358931554362232	0.05358083121465195	0.06827960550502646	AT1G14920,AT1G15100,AT1G16540,AT1G48270,AT1G52340,AT1G78390,AT2G01570,AT2G04240,AT2G20180,AT2G26040,AT2G28350,AT2G32460,AT2G33610,AT2G36270,AT2G40220,AT2G43790,AT2G44950,AT2G46830,AT3G11540,AT3G50500,AT3G51770,AT4G01026,AT4G11110,AT4G17870,AT4G25700,AT4G36930,AT5G35750,AT5G57390,AT5G63320
AT5G12430	28	56	28	3	0.031168083634291875	0.05209563278234109	0.06761720331902941	AT1G01060,AT1G27320,AT1G31970,AT1G48270,AT1G52340,AT1G66350,AT2G01570,AT2G01830,AT2G04240,AT2G28350,AT2G40220,AT2G43790,AT3G03450,AT3G11540,AT3G24220,AT3G24650,AT3G50500,AT3G62090,AT3G63520,AT4G01026,AT4G09570,AT4G17870,AT4G26070,AT4G36930,AT5G20960,AT5G37260,AT5G46790,AT5G66880
AT5G47030	28	54	25	4	0.019976992512919386	0.04963708071401427	0.06819081364622158	AT1G27320,AT1G66350,AT1G78390,AT2G01570,AT2G01830,AT2G26040,AT2G28350,AT2G32460,AT2G33610,AT2G36270,AT2G40330,AT2G43790,AT3G24650,AT3G51770,AT3G51880,AT4G01026,AT4G09570,AT4G11110,AT4G17870,AT4G18620,AT4G25700,AT4G33950,AT5G05440,AT5G06100,AT5G45860,AT5G57390,AT5G63320,AT5G66880
AT2G01220	28	51	24	4	0.02175804255837334	0.04881131198673429	0.06469487076363951	AT1G27320,AT1G31970,AT1G66350,AT2G01830,AT2G04240,AT2G26040,AT2G27300,AT2G33610,AT2G40330,AT2G44950,AT2G46830,AT3G03450,AT3G04870,AT3G20770,AT3G24220,AT3G50500,AT4G01026,AT4G09570,AT4G33950,AT4G36930,AT5G20960,AT5G35750,AT5G45830,AT5G46790,AT5G52570,AT5G53160,AT5G57390,AT5G67030
