ID_REF	#SpNeighbors	Score	#Cliques	#MaximalClique	MinDistance	AvgDistance	MaxDistance	Specific Genes
AT5G42670	27	56	26	4	0.019494425578396028	0.049945279601581356	0.06735488467928402	AT1G09570,AT1G15550,AT1G22770,AT1G30040,AT1G31930,AT1G48630,AT1G55870,AT1G72770,AT1G79460,AT2G23460,AT2G25490,AT2G31660,AT2G38050,AT3G11240,AT3G11410,AT3G47620,AT3G63010,AT4G16250,AT4G18130,AT5G05700,AT5G13530,AT5G25350,AT5G25900,AT5G40280,AT5G48870,AT5G51760,AT5G57050
AT1G26370	24	51	24	4	0.023609136201942958	0.05045682104963775	0.0676334137982698	AT1G10430,AT1G13740,AT1G18080,AT1G30040,AT1G54160,AT1G55870,AT1G69260,AT1G80340,AT2G21660,AT2G23460,AT2G25490,AT2G26300,AT2G30250,AT2G31660,AT2G41430,AT3G47620,AT4G16250,AT4G18130,AT5G03280,AT5G05700,AT5G25350,AT5G40280,AT5G51760,AT5G51810
AT1G79670	23	43	21	4	0.025885107785125563	0.052671163939421235	0.06702329154184515	AT1G09570,AT1G22770,AT1G30040,AT1G31930,AT1G48630,AT1G79460,AT2G23460,AT2G26300,AT2G31660,AT3G05120,AT3G11240,AT3G47620,AT3G51920,AT4G25420,AT4G34390,AT5G02310,AT5G13530,AT5G20910,AT5G25900,AT5G44200,AT5G51760,AT5G51810,AT5G57050
AT3G22520	23	41	19	4	0.02975405082625133	0.05501641169573575	0.06718286054336928	AT1G09570,AT1G13740,AT1G15550,AT1G31930,AT1G48630,AT1G54160,AT1G55870,AT2G25490,AT2G29090,AT2G41430,AT3G05120,AT3G11240,AT3G59220,AT5G05700,AT5G13530,AT5G20910,AT5G25350,AT5G25900,AT5G40280,AT5G44200,AT5G48870,AT5G51760,AT5G57050
AT1G63780	23	35	17	4	0.02641701063825196	0.051752338845100644	0.06642600475971518	AT1G15550,AT1G22770,AT1G30040,AT1G55870,AT1G69260,AT1G72770,AT1G79460,AT2G21660,AT2G23460,AT2G26300,AT2G29090,AT2G30250,AT2G38050,AT3G05120,AT3G11240,AT3G47620,AT3G59220,AT4G18130,AT5G02310,AT5G03280,AT5G40280,AT5G44200,AT5G51760
AT3G07440	23	29	13	4	0.021395543833035602	0.04923404981956838	0.06702466377930269	AT1G09570,AT1G18080,AT1G48630,AT1G69260,AT2G21660,AT2G26300,AT2G38050,AT3G05120,AT3G11410,AT3G47620,AT3G51920,AT3G54810,AT3G59220,AT3G63010,AT4G16250,AT4G18130,AT4G25420,AT4G34390,AT5G20910,AT5G25350,AT5G25900,AT5G44200,AT5G48870
AT2G39760	23	26	11	4	0.028230811803313705	0.052262723893017705	0.0650584247348298	AT1G09570,AT1G13740,AT1G15550,AT1G22770,AT1G30040,AT1G54160,AT1G55870,AT1G80340,AT2G26300,AT2G29090,AT2G30250,AT2G38050,AT2G41430,AT3G11240,AT3G11410,AT3G59220,AT4G18130,AT5G13530,AT5G25350,AT5G40280,AT5G44200,AT5G51760,AT5G57050
AT2G26280	22	50	23	4	0.030424059880503167	0.05053966260920759	0.06860811832465509	AT1G09570,AT1G15550,AT1G31930,AT1G54160,AT1G55870,AT1G72770,AT1G79460,AT2G21660,AT2G23460,AT2G26300,AT2G30250,AT2G38050,AT2G41430,AT3G05120,AT3G11240,AT3G51920,AT4G16250,AT4G34390,AT5G13530,AT5G20910,AT5G44200,AT5G48870
AT5G58110	22	47	23	4	0.02992301928491543	0.050373829000371635	0.06887222092258012	AT1G10430,AT1G15550,AT1G31930,AT1G54160,AT1G55870,AT1G72770,AT1G79460,AT2G21660,AT2G29090,AT2G31660,AT2G38050,AT2G41430,AT3G51920,AT3G59220,AT4G25420,AT4G34390,AT5G03280,AT5G20910,AT5G25900,AT5G44200,AT5G48870,AT5G51760
AT1G79200	22	44	21	4	0.034902702321768876	0.051422575579737506	0.06427173286826192	AT1G09570,AT1G13740,AT1G18080,AT1G22770,AT1G54160,AT1G55870,AT1G72770,AT2G23460,AT2G26300,AT2G30250,AT2G31660,AT2G38050,AT3G05120,AT3G11410,AT3G51920,AT3G54810,AT3G59220,AT3G63010,AT4G25420,AT5G03280,AT5G13530,AT5G57050
AT5G64500	22	44	20	4	0.019013952053264126	0.046930511435121613	0.06689213033114853	AT1G09570,AT1G10430,AT1G22770,AT1G31930,AT1G48630,AT1G54160,AT1G69260,AT1G72770,AT1G79460,AT1G80340,AT2G21660,AT2G23460,AT2G29090,AT2G31660,AT2G38050,AT2G41430,AT3G05120,AT3G11240,AT3G47620,AT3G63010,AT5G13530,AT5G40280
AT5G52880	22	44	20	4	0.0296187946466468	0.049620949508165806	0.06413553023676609	AT1G09570,AT1G22770,AT1G31930,AT1G48630,AT1G54160,AT1G72770,AT1G79460,AT2G23460,AT2G30250,AT2G31660,AT2G38050,AT2G41430,AT3G47620,AT4G16250,AT4G18130,AT4G25420,AT5G03280,AT5G13530,AT5G25350,AT5G44200,AT5G51810,AT5G57050
AT1G25420	22	43	21	4	0.03194640893854366	0.04687910451223012	0.06684899630122444	AT1G09570,AT1G13740,AT1G15550,AT1G48630,AT1G54160,AT1G55870,AT1G72770,AT1G79460,AT2G25490,AT2G41430,AT3G05120,AT3G47620,AT3G51920,AT3G59220,AT3G63010,AT4G16250,AT4G34390,AT5G03280,AT5G13530,AT5G25350,AT5G25900,AT5G51810
AT1G33780	22	42	21	3	0.027956765830528467	0.04856581319150002	0.06722611824725232	AT1G09570,AT1G10430,AT1G18080,AT1G22770,AT1G30040,AT1G31930,AT1G54160,AT1G55870,AT1G69260,AT1G72770,AT1G79460,AT2G29090,AT2G31660,AT3G11240,AT3G11410,AT3G54810,AT3G63010,AT4G18130,AT5G02310,AT5G20910,AT5G25900,AT5G40280
AT4G30710	22	42	19	4	0.03612437669194083	0.0537037036457729	0.0667969372322328	AT1G10430,AT1G13740,AT1G15550,AT1G18080,AT1G55870,AT1G69260,AT2G25490,AT2G26300,AT2G29090,AT2G31660,AT2G38050,AT3G05120,AT3G11240,AT3G11410,AT4G25420,AT4G34390,AT5G02310,AT5G03280,AT5G20910,AT5G25350,AT5G25900,AT5G44200
AT5G12290	22	40	20	3	0.032344727451289905	0.05022664275718785	0.06807613278661956	AT1G10430,AT1G18080,AT1G31930,AT1G48630,AT1G72770,AT1G80340,AT2G25490,AT2G30250,AT2G31660,AT3G11410,AT3G47620,AT3G51920,AT3G59220,AT3G63010,AT5G02310,AT5G05700,AT5G13530,AT5G20910,AT5G25350,AT5G25900,AT5G40280,AT5G51760
AT4G26410	22	39	19	4	0.032124184915752425	0.052972141371670126	0.0671723148166842	AT1G09570,AT1G15550,AT1G69260,AT1G72770,AT1G79460,AT2G21660,AT2G26300,AT2G41430,AT3G05120,AT3G11410,AT3G47620,AT3G59220,AT4G18130,AT4G25420,AT4G34390,AT5G02310,AT5G03280,AT5G13530,AT5G25900,AT5G51760,AT5G51810,AT5G57050
AT3G10920	22	39	18	4	0.03250557330802422	0.05299065598666828	0.06764451221383924	AT1G15550,AT1G18080,AT1G22770,AT1G48630,AT1G54160,AT1G69260,AT1G72770,AT2G21660,AT2G23460,AT2G25490,AT2G31660,AT2G38050,AT3G47620,AT3G51920,AT3G54810,AT3G59220,AT5G02310,AT5G03280,AT5G05700,AT5G20910,AT5G25350,AT5G25900
AT5G59610	22	37	18	4	0.02353614285404243	0.049534682231426895	0.06736608447252547	AT1G18080,AT1G31930,AT1G55870,AT1G69260,AT1G80340,AT2G23460,AT2G29090,AT2G30250,AT2G31660,AT2G41430,AT3G11410,AT3G51920,AT3G54810,AT3G59220,AT4G16250,AT4G18130,AT4G25420,AT5G03280,AT5G05700,AT5G13530,AT5G20910,AT5G25900
AT3G53570	22	35	16	4	0.029069001911905847	0.050707560823836095	0.0680117277647065	AT1G10430,AT1G13740,AT1G15550,AT1G72770,AT1G79460,AT1G80340,AT2G21660,AT2G26300,AT2G31660,AT2G38050,AT2G41430,AT3G05120,AT3G51920,AT3G54810,AT3G59220,AT4G18130,AT4G25420,AT5G05700,AT5G13530,AT5G44200,AT5G51760,AT5G51810
AT4G35910	22	33	15	4	0.0222547188873393	0.048525253497259314	0.06506679577853419	AT1G13740,AT1G30040,AT1G31930,AT1G48630,AT1G55870,AT1G69260,AT1G80340,AT2G21660,AT2G23460,AT2G25490,AT2G29090,AT2G31660,AT3G11240,AT3G11410,AT3G47620,AT3G51920,AT3G54810,AT4G16250,AT4G25420,AT5G13530,AT5G25350,AT5G44200
AT5G23440	22	32	16	3	0.03275280153851398	0.05277938267246556	0.06842891842715548	AT1G10430,AT1G15550,AT1G18080,AT1G22770,AT1G30040,AT1G31930,AT1G48630,AT1G55870,AT1G69260,AT1G72770,AT2G29090,AT2G31660,AT3G11240,AT3G51920,AT3G54810,AT5G02310,AT5G03280,AT5G05700,AT5G20910,AT5G40280,AT5G51810,AT5G57050
AT5G07270	22	30	14	4	0.037246068875572594	0.05244343867778129	0.06652199355358791	AT1G10430,AT1G22770,AT1G30040,AT1G31930,AT1G69260,AT1G79460,AT2G25490,AT2G26300,AT2G29090,AT2G41430,AT3G05120,AT3G11240,AT3G11410,AT3G51920,AT3G54810,AT3G59220,AT4G34390,AT5G03280,AT5G05700,AT5G40280,AT5G48870,AT5G57050
AT3G05050	22	24	12	3	0.03272651712400288	0.05399910726329667	0.06806478737141215	AT1G09570,AT1G15550,AT1G22770,AT1G30040,AT1G48630,AT1G54160,AT1G72770,AT2G21660,AT3G05120,AT3G11410,AT3G51920,AT3G54810,AT4G16250,AT4G18130,AT4G25420,AT5G02310,AT5G03280,AT5G25900,AT5G40280,AT5G51760,AT5G51810,AT5G57050
