ID_REF,Label,#Unique,#1-Method,#2-Methods,#3-Methods,#4-Methods,P-CEIN Pos,P-CEIN Neg,KNN-RBH,NPC-1,ClusterPath
AT5G44200,Germination,5836,4109,1068,557,102,3966,55,787,1070,2446
AT2G44950,Dormancy,4066,2602,931,439,94,867,3,1127,1068,3092
AT5G40280,Germination,3593,2504,748,273,68,640,2,647,1073,2729
AT5G06100,Dormancy,3880,2812,683,320,65,1128,8,678,1029,2555
AT2G38050,Germination,5059,3736,928,348,47,3238,141,655,1039,1751
AT3G51770,Dormancy,3238,2382,559,250,47,1179,2,589,1042,1626
AT3G50500,Dormancy,4014,2941,783,247,43,429,1,732,1049,3209
AT5G08620,Dormancy,5390,3878,1003,468,41,3539,170,832,1048,1863
AT2G01830,Dormancy,3693,2726,612,316,39,903,14,475,1053,2609
AT2G23460,Germination,4068,2979,734,320,35,941,0,712,1037,2857
AT1G27320,Dormancy,2920,2056,482,351,31,500,1,1119,1069,1508
AT3G11240,Germination,3908,3112,595,172,29,228,6,409,1082,3209
AT2G41430,Germination,2592,1890,509,165,28,921,5,308,1059,1222
AT2G33610,Dormancy,5201,3921,877,376,27,2425,12,567,1050,2857
AT2G31660,Germination,5233,3959,904,343,27,3624,110,779,1073,1318
AT5G03280,Germination,3433,2864,383,161,25,1357,55,408,1083,1310
AT1G10430,Germination,3279,2616,515,124,24,494,0,658,1077,1885
AT1G01360,Dormancy,3321,2294,733,271,23,402,1,1194,1036,2032
AT4G11110,Dormancy,3737,2620,850,252,15,435,5,1216,1026,2454
AT5G13530,Germination,2886,2054,586,232,14,666,2,1165,1032,1113
AT5G48870,Germination,5944,3814,1318,799,13,4582,130,1222,1076,1889
AT4G25700,Dormancy,2793,2034,556,191,12,1504,8,441,1007,807
AT1G54160,Germination,3775,3132,485,146,12,1036,41,180,1025,2306
AT5G60410,Dormancy,3082,2127,739,205,11,296,0,1180,1062,1726
AT1G79460,Germination,2785,2135,514,125,11,277,1,662,1094,1548
AT3G63520,Dormancy,4155,3174,812,159,10,349,6,784,1084,3092
AT1G31930,Germination,3084,2440,510,124,10,290,4,549,1053,1976
AT2G26300,Germination,3111,2520,458,123,10,564,1,145,1065,2070
AT5G57390,Dormancy,3032,2449,455,118,10,706,17,421,1037,1572
AT4G34390,Germination,2344,1836,381,122,5,157,2,954,1079,792
AT5G02310,Germination,2700,2050,532,113,5,85,1,830,1049,1508
AT5G05700,Germination,2822,2245,495,77,5,53,1,901,1075,1456
AT4G18130,Germination,3006,1995,762,245,4,676,33,1099,1013,1449
AT2G43790,Dormancy,3578,2703,737,134,4,87,1,1008,1045,2454
AT1G52340,Dormancy,2353,1960,293,96,4,158,5,352,1014,1321
AT3G47620,Germination,2494,2018,353,120,3,571,7,126,1077,1315
AT1G55870,Germination,2313,1784,433,93,3,82,1,486,1062,1310
AT5G63320,Dormancy,1904,1631,208,62,3,206,3,239,1063,734
AT5G20910,Germination,2587,1961,385,239,2,584,28,680,1065,1099
AT1G48270,Dormancy,3687,2806,672,207,2,956,4,449,1030,2340
AT3G20770,Dormancy,2824,2038,610,174,2,890,1,1189,996,712
AT3G04870,Dormancy,3386,2797,516,71,2,182,3,865,1046,1954
AT1G31970,Dormancy,5815,3864,1324,626,1,4650,80,1122,1090,1452
AT4G17870,Dormancy,3876,2613,708,554,1,2261,367,835,1043,1189
AT1G72770,Germination,2639,1871,542,225,1,475,1,721,1006,1431
AT3G11540,Dormancy,2528,2017,419,91,1,248,3,1049,985,847
AT2G28350,Dormancy,2953,2470,414,68,1,1769,25,319,1020,373
AT3G11410,Germination,2712,2359,313,39,1,559,0,1039,1058,450
AT1G13740,Germination,2195,1775,381,38,1,601,2,237,1008,807
AT5G25900,Germination,1488,1399,81,7,1,24,0,179,1068,315
AT3G51880,Dormancy,3222,2203,613,406,0,1012,16,824,1009,1786
AT5G17490,Dormancy,3710,2711,624,375,0,2143,326,737,1051,827
AT1G16540,Dormancy,3898,2974,554,370,0,726,1156,883,996,1431
AT5G67030,Dormancy,2671,1776,554,341,0,1048,27,690,1032,1110
AT5G51760,Germination,2514,1814,392,308,0,807,18,562,1025,1110
AT1G48630,Germination,5244,3840,1114,290,0,3857,305,1253,1078,445
AT4G01026,Dormancy,2628,1756,591,281,0,1124,5,538,1004,1110
AT5G20960,Dormancy,2467,1740,446,281,0,929,57,602,1005,882
AT4G16250,Germination,3153,2484,425,244,0,791,744,687,1027,817
AT3G03450,Dormancy,4381,3440,736,205,0,3402,97,566,1063,399
AT2G30250,Germination,3088,2485,398,205,0,594,374,626,1037,1265
AT3G05120,Germination,2900,2087,612,201,0,933,3,842,1015,1121
AT2G38310,Dormancy,4503,3462,855,186,0,2900,456,1054,1034,286
AT5G35750,Dormancy,3329,2627,519,183,0,1349,207,441,1032,1185
AT5G52570,Dormancy,2537,2058,299,180,0,767,480,572,1000,377
AT4G36930,Dormancy,4000,3078,754,168,0,2720,74,968,1038,290
